No,Year,Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Diameter (nm),Size_in_Water (nm),Size_in_Medium (nm),Zeta_in_Water (mV),Zeta_in_Medium (mV),Cell_Type,No_of_Cells (cells/well),Human_Animal,Cell_Source,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Test,Test_Indicator,Aspect_Ratio,Cell_Viability (%),PDI,Article_ID,DOI
11,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1.95,MTT,TetrazoliumSalt,NA,105.21,NA,1,10.3109/15376516.2015.1070229
12,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,3.9,MTT,TetrazoliumSalt,NA,120.85,NA,1,10.3109/15376516.2015.1070229
13,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,7.8,MTT,TetrazoliumSalt,NA,117.25,NA,1,10.3109/15376516.2015.1070229
14,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,15.6,MTT,TetrazoliumSalt,NA,106.06,NA,1,10.3109/15376516.2015.1070229
15,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,31.2,MTT,TetrazoliumSalt,NA,84.93,NA,1,10.3109/15376516.2015.1070229
16,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,62.5,MTT,TetrazoliumSalt,NA,96.127,NA,1,10.3109/15376516.2015.1070229
17,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,125,MTT,TetrazoliumSalt,NA,94.225,NA,1,10.3109/15376516.2015.1070229
18,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,250,MTT,TetrazoliumSalt,NA,103.94,NA,1,10.3109/15376516.2015.1070229
19,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,500,MTT,TetrazoliumSalt,NA,79.014,NA,1,10.3109/15376516.2015.1070229
20,2015,SiO2,I,Sphere,CTAB,Precipitation,Negative,NA,386.9,90.09,-35.9,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1000,MTT,TetrazoliumSalt,NA,63.803,NA,1,10.3109/15376516.2015.1070229
21,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,1.95,MTT,TetrazoliumSalt,NA,97.463,NA,1,10.3109/15376516.2015.1070229
22,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,3.9,MTT,TetrazoliumSalt,NA,95.486,NA,1,10.3109/15376516.2015.1070229
23,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,7.8,MTT,TetrazoliumSalt,NA,89.951,NA,1,10.3109/15376516.2015.1070229
24,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,15.6,MTT,TetrazoliumSalt,NA,105.96,NA,1,10.3109/15376516.2015.1070229
25,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,31.2,MTT,TetrazoliumSalt,NA,95.091,NA,1,10.3109/15376516.2015.1070229
26,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,62.5,MTT,TetrazoliumSalt,NA,96.474,NA,1,10.3109/15376516.2015.1070229
27,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,125,MTT,TetrazoliumSalt,NA,94.3,NA,1,10.3109/15376516.2015.1070229
28,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,250,MTT,TetrazoliumSalt,NA,72.356,NA,1,10.3109/15376516.2015.1070229
29,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,500,MTT,TetrazoliumSalt,NA,70.774,NA,1,10.3109/15376516.2015.1070229
30,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,1000,MTT,TetrazoliumSalt,NA,71.763,NA,1,10.3109/15376516.2015.1070229
31,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1.95,MTT,TetrazoliumSalt,NA,103.52,NA,1,10.3109/15376516.2015.1070229
32,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,3.9,MTT,TetrazoliumSalt,NA,96.761,NA,1,10.3109/15376516.2015.1070229
33,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,7.8,MTT,TetrazoliumSalt,NA,109.86,NA,1,10.3109/15376516.2015.1070229
34,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,15.6,MTT,TetrazoliumSalt,NA,122.75,NA,1,10.3109/15376516.2015.1070229
35,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,31.2,MTT,TetrazoliumSalt,NA,104.58,NA,1,10.3109/15376516.2015.1070229
36,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,62.5,MTT,TetrazoliumSalt,NA,118.73,NA,1,10.3109/15376516.2015.1070229
37,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,125,MTT,TetrazoliumSalt,NA,94.648,NA,1,10.3109/15376516.2015.1070229
38,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,250,MTT,TetrazoliumSalt,NA,103.1,NA,1,10.3109/15376516.2015.1070229
39,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,500,MTT,TetrazoliumSalt,NA,105.63,NA,1,10.3109/15376516.2015.1070229
40,2015,SiO2,I,Sphere,Ph,Precipitation,Negative,NA,375.4,135.83,-26.8,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1000,MTT,TetrazoliumSalt,NA,80.493,NA,1,10.3109/15376516.2015.1070229
41,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,1.95,MTT,TetrazoliumSalt,NA,120,NA,1,10.3109/15376516.2015.1070229
42,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,3.9,MTT,TetrazoliumSalt,NA,119.41,NA,1,10.3109/15376516.2015.1070229
43,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,7.8,MTT,TetrazoliumSalt,NA,109.52,NA,1,10.3109/15376516.2015.1070229
44,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,15.6,MTT,TetrazoliumSalt,NA,111.3,NA,1,10.3109/15376516.2015.1070229
45,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,31.2,MTT,TetrazoliumSalt,NA,114.86,NA,1,10.3109/15376516.2015.1070229
46,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,62.5,MTT,TetrazoliumSalt,NA,116.05,NA,1,10.3109/15376516.2015.1070229
47,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,125,MTT,TetrazoliumSalt,NA,106.95,NA,1,10.3109/15376516.2015.1070229
48,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,250,MTT,TetrazoliumSalt,NA,73.74,NA,1,10.3109/15376516.2015.1070229
49,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,500,MTT,TetrazoliumSalt,NA,93.904,NA,1,10.3109/15376516.2015.1070229
50,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,12,1000,MTT,TetrazoliumSalt,NA,76.31,NA,1,10.3109/15376516.2015.1070229
51,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1.95,MTT,TetrazoliumSalt,NA,104.15,NA,1,10.3109/15376516.2015.1070229
52,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,3.9,MTT,TetrazoliumSalt,NA,102.89,NA,1,10.3109/15376516.2015.1070229
53,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,7.8,MTT,TetrazoliumSalt,NA,102.04,NA,1,10.3109/15376516.2015.1070229
54,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,15.6,MTT,TetrazoliumSalt,NA,94.225,NA,1,10.3109/15376516.2015.1070229
55,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,31.2,MTT,TetrazoliumSalt,NA,90.423,NA,1,10.3109/15376516.2015.1070229
56,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,62.5,MTT,TetrazoliumSalt,NA,91.056,NA,1,10.3109/15376516.2015.1070229
57,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,125,MTT,TetrazoliumSalt,NA,100.77,NA,1,10.3109/15376516.2015.1070229
58,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,250,MTT,TetrazoliumSalt,NA,96.761,NA,1,10.3109/15376516.2015.1070229
59,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,500,MTT,TetrazoliumSalt,NA,103.94,NA,1,10.3109/15376516.2015.1070229
60,2015,SiO2,I,Sphere,NH2,Precipitation,Positive,NA,437,142.11,21.7,NA,PC12,5000,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1000,MTT,TetrazoliumSalt,NA,85.775,NA,1,10.3109/15376516.2015.1070229
61,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1,CellTiterBlue,AlamarBlue,NA,107.59,NA,2,10.5402/2012/454072
62,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10,CellTiterBlue,AlamarBlue,NA,100.81,NA,2,10.5402/2012/454072
63,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100,CellTiterBlue,AlamarBlue,NA,70.11,NA,2,10.5402/2012/454072
64,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000,CellTiterBlue,AlamarBlue,NA,22.617,NA,2,10.5402/2012/454072
65,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1,XTT,TetrazoliumSalt,NA,123.42,NA,2,10.5402/2012/454072
66,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10,XTT,TetrazoliumSalt,NA,114.38,NA,2,10.5402/2012/454072
67,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100,XTT,TetrazoliumSalt,NA,82.714,NA,2,10.5402/2012/454072
68,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000,XTT,TetrazoliumSalt,NA,25.525,NA,2,10.5402/2012/454072
69,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1,LDH,LDHrelease,NA,4.5234,NA,2,10.5402/2012/454072
70,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10,LDH,LDHrelease,NA,6.1389,NA,2,10.5402/2012/454072
71,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100,LDH,LDHrelease,NA,22.294,NA,2,10.5402/2012/454072
72,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,2600,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000,LDH,LDHrelease,NA,69.467,NA,2,10.5402/2012/454072
73,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1,Live/Dead,PropidiumIodide,NA,95.315,NA,2,10.5402/2012/454072
74,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10,Live/Dead,PropidiumIodide,NA,86.268,NA,2,10.5402/2012/454072
75,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100,Live/Dead,PropidiumIodide,NA,69.467,NA,2,10.5402/2012/454072
76,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000,Live/Dead,PropidiumIodide,NA,9.6931,NA,2,10.5402/2012/454072
77,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1,Live/Dead,CalceinAM,NA,94.023,NA,2,10.5402/2012/454072
78,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10,Live/Dead,CalceinAM,NA,91.761,NA,2,10.5402/2012/454072
79,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100,Live/Dead,CalceinAM,NA,71.729,NA,2,10.5402/2012/454072
80,2012,SiO2,I,Sphere,None,Commercial,Negative,10,7,10,-27,NA,RAW264.7,6000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000,Live/Dead,CalceinAM,NA,44.265,NA,2,10.5402/2012/454072
81,2015,QD,I,Sphere,DPA,Precipitation,Neutral,5.4,NA,NA,NA,NA,SVEC4-10,NA,A,Mouse,Axillary Lymph Node,Epithelial,Adult,L,24,NA,MTS,TetrazoliumSalt,NA,105.33,NA,3,10.3762/bjnano.6.28
82,2015,QD,I,Sphere,DPA,Precipitation,Neutral,5.4,NA,NA,NA,NA,SVEC4-10,NA,A,Mouse,Axillary Lymph Node,Epithelial,Adult,L,24,NA,MTS,TetrazoliumSalt,NA,89.73,NA,3,10.3762/bjnano.6.28
83,2015,QD,I,Sphere,DPA,Precipitation,Neutral,5.4,NA,NA,NA,NA,J774A.1,NA,A,Mouse,Ascites,Macrophage,Adult,L,24,NA,MTS,TetrazoliumSalt,NA,109.52,NA,3,10.3762/bjnano.6.28
84,2015,QD,I,Sphere,DPA,Precipitation,Neutral,5.4,NA,NA,NA,NA,J774A.1,NA,A,Mouse,Ascites,Macrophage,Adult,L,24,NA,MTS,TetrazoliumSalt,NA,112.26,NA,3,10.3762/bjnano.6.28
85,2015,QD,I,Sphere,MPA,Precipitation,Negative,5.4,NA,NA,NA,NA,SVEC4-10,NA,A,Mouse,Axillary Lymph Node,Epithelial,Adult,L,24,NA,MTS,TetrazoliumSalt,NA,93.591,NA,3,10.3762/bjnano.6.28
86,2015,QD,I,Sphere,MPA,Precipitation,Negative,5.4,NA,NA,NA,NA,SVEC4-10,NA,A,Mouse,Axillary Lymph Node,Epithelial,Adult,L,24,NA,MTS,TetrazoliumSalt,NA,45.56,NA,3,10.3762/bjnano.6.28
87,2015,QD,I,Sphere,MPA,Precipitation,Negative,5.4,NA,NA,NA,NA,J774A.1,NA,A,Mouse,Ascites,Macrophage,Adult,L,24,NA,MTS,TetrazoliumSalt,NA,111.61,NA,3,10.3762/bjnano.6.28
88,2015,QD,I,Sphere,MPA,Precipitation,Negative,5.4,NA,NA,NA,NA,J774A.1,NA,A,Mouse,Ascites,Macrophage,Adult,L,24,NA,MTS,TetrazoliumSalt,NA,57.419,NA,3,10.3762/bjnano.6.28
89,2015,QD,I,Sphere,CyA,Precipitation,Positive,5.4,NA,NA,NA,NA,SVEC4-10,NA,A,Mouse,Axillary Lymph Node,Epithelial,Adult,L,24,NA,MTS,TetrazoliumSalt,NA,29.961,NA,3,10.3762/bjnano.6.28
90,2015,QD,I,Sphere,CyA,Precipitation,Positive,5.4,NA,NA,NA,NA,SVEC4-10,NA,A,Mouse,Axillary Lymph Node,Epithelial,Adult,L,24,NA,MTS,TetrazoliumSalt,NA,25.019,NA,3,10.3762/bjnano.6.28
91,2015,QD,I,Sphere,CyA,Precipitation,Positive,5.4,NA,NA,NA,NA,J774A.1,NA,A,Mouse,Ascites,Macrophage,Adult,L,24,NA,MTS,TetrazoliumSalt,NA,86.129,NA,3,10.3762/bjnano.6.28
92,2015,QD,I,Sphere,CyA,Precipitation,Positive,5.4,NA,NA,NA,NA,J774A.1,NA,A,Mouse,Ascites,Macrophage,Adult,L,24,NA,MTS,TetrazoliumSalt,NA,22.581,NA,3,10.3762/bjnano.6.28
93,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,NA,18,170,NA,NA,NA,VERO,10000,A,Monkey,Kidney,Epithelial,Adult,L,24,100,MTT,TetrazoliumSalt,NA,102,NA,4,10.1002/jbm.b.33068
94,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,NA,18,170,NA,NA,NA,VERO,10000,A,Monkey,Kidney,Epithelial,Adult,L,24,200,MTT,TetrazoliumSalt,NA,105.08,NA,4,10.1002/jbm.b.33068
95,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,NA,18,170,NA,NA,NA,VERO,10000,A,Monkey,Kidney,Epithelial,Adult,L,24,300,MTT,TetrazoliumSalt,NA,100,NA,4,10.1002/jbm.b.33068
96,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,NA,18,170,NA,NA,NA,VERO,10000,A,Monkey,Kidney,Epithelial,Adult,L,24,400,MTT,TetrazoliumSalt,NA,100,NA,4,10.1002/jbm.b.33068
97,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,NA,18,170,NA,NA,NA,VERO,10000,A,Monkey,Kidney,Epithelial,Adult,L,24,500,MTT,TetrazoliumSalt,NA,80,NA,4,10.1002/jbm.b.33068
98,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,NA,18,170,NA,NA,NA,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,100,MTT,TetrazoliumSalt,NA,101.97,NA,4,10.1002/jbm.b.33068
99,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,NA,18,170,NA,NA,NA,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,200,MTT,TetrazoliumSalt,NA,115.09,NA,4,10.1002/jbm.b.33068
100,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,NA,18,170,NA,NA,NA,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,300,MTT,TetrazoliumSalt,NA,115.09,NA,4,10.1002/jbm.b.33068
101,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,NA,18,170,NA,NA,NA,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,400,MTT,TetrazoliumSalt,NA,100.1,NA,4,10.1002/jbm.b.33068
102,2014,IronOxide,I,Sphere,Dextran,Thermal Decomposition,NA,18,170,NA,NA,NA,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,500,MTT,TetrazoliumSalt,NA,118.08,NA,4,10.1002/jbm.b.33068
103,2014,IronOxide,I,Sphere,PEG,Thermal Decomposition,NA,18,120,NA,NA,NA,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,100,MTT,TetrazoliumSalt,NA,80,NA,4,10.1002/jbm.b.33068
104,2014,IronOxide,I,Sphere,PEG,Thermal Decomposition,NA,18,120,NA,NA,NA,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,200,MTT,TetrazoliumSalt,NA,75.077,NA,4,10.1002/jbm.b.33068
105,2014,IronOxide,I,Sphere,PEG,Thermal Decomposition,NA,18,120,NA,NA,NA,MDCK,10000,A,Dog,Kidney,Epithelial,Adult,L,24,300,MTT,TetrazoliumSalt,NA,50,NA,4,10.1002/jbm.b.33068
